00000000;00000000;NOP;1;F;No operation
11010000;11CCC000;Rccc;1/3;S / S R R;Conditional return
11010001;11RP0001;POP rp;3;F R R;Pop RP
11010010;11CCC010;Jccc addr;2/3;F R / F R R;Conditional jump Z,C,P,S
11010011;11010011;OUT port;3;F R O;Ouput to port
11010100;11CCC100;Cccc addr;2/5;S R / S R R W W;Conditional call
11010101;11RP0101;PUSH rp;3;S W W;Push RP
11010110;11010110;SUI data;2;F R;Subtract immediate
11010111;11NNN111;RST n;3;S W W;Restart
11011000;11CCC000;Rccc;1/3;S / S R R;Conditional return
11011001;;;;;NOT USED
11011010;11CCC010;Jccc addr;2/3;F R / F R R;Conditional jump Z,C,P,S
11011011;11011011;IN port;3;F R I;Input from port
11011100;11CCC100;Cccc addr;2/5;S R / S R R W W;Conditional call
11011101;;;;;NOT USED
11011110;11011110;SBI data;2;F R;Subtract immediate with CY
11011111;11NNN111;RST n;3;S W W;Restart
11100000;11CCC000;Rccc;1/3;S / S R R;Conditional return
11100001;11RP0001;POP rp;3;F R R;Pop RP
11100010;11CCC010;Jccc addr;2/3;F R / F R R;Conditional jump Z,C,P,S
11100011;11100011;XTHL;5;F R R W W;Exchange stack top with HL
11100100;11CCC100;Cccc addr;2/5;S R / S R R W W;Conditional call
11100101;11RP0101;PUSH rp;3;S W W;Push RP
11100110;11100110;ANI data;2;F R;AND immediate
11100111;11NNN111;RST n;3;S W W;Restart
11101000;11CCC000;Rccc;1/3;S / S R R;Conditional return
11101001;11101001;PCHL;1;S;Jump HL indirect (PC = HL)
11101010;11CCC010;Jccc addr;2/3;F R / F R R;Conditional jump Z,C,P,S
11101011;11101011;XCHG;1;F;Exchange HL & DE
11101100;11CCC100;Cccc addr;2/5;S R / S R R W W;Conditional call
11101101;;;;;NOT USED
11101110;11101110;XRI data;2;F R;XOR immediate
11101111;11NNN111;RST n;3;S W W;Restart
11110000;11CCC000;Rccc;1/3;S / S R R;Conditional return
11110001;11110001;POP PSW;3;F R R;Pop (ACC,CY|X|P|X|AC|X|Z|S)
11110010;11CCC010;Jccc addr;2/3;F R / F R R;Conditional jump Z,C,P,S
11110011;11110011;DI;1;F;Disable interrupts
11110100;11CCC100;Cccc addr;2/5;S R / S R R W W;Conditional call
11110101;11110101;PUSH PSW;3;S W W;Push (ACC,CY|X|P|X|AC|X|Z|S)
11110110;11110110;ORI data;2;F R;OR immediate
11110111;11NNN111;RST n;3;S W W;Restart
11111000;11CCC000;Rccc;1/3;S / S R R;Conditional return
11111001;11111001;SPHL;1;S;Move HL to SP
11111010;11CCC010;Jccc addr;2/3;F R / F R R;Conditional jump Z,C,P,S
11111011;11111011;EI;1;F;Enable interrupts
11111100;11CCC100;Cccc addr;2/5;S R / S R R W W;Conditional call
11111101;;;;;NOT USED
11111110;11111110;CPI data;2;F R;Compare immediate
11111111;11NNN111;RST n;3;S W W;Restart
